,title_id,Country,Budget,Opening Weekend USA,Gross USA,Cumulative Worldwide Gross,Runtime
5051,tt2106590,France,"EUR850,000",,,,81 min
5052,tt2106641,Australia,,,,,70 min
5053,tt2109245,Japan,,,,"$6,183,234",90 min
5054,tt2110388,USA,,,,,88 min
5055,tt2111459,USA,,,,,50 min
5056,tt2112201,USA,,,,,70 min
5057,tt2112217,Portugal,,,,,129 min
5058,tt2112238,France,,,,,51 min
5059,tt2112248,Iceland,,,,,49 min
5060,tt2112285,Indonesia,,,,,118 min
5061,tt2112968,Spain,,,,,84 min
5062,tt2113658,Spain,"EUR500,000",,,,89 min
5063,tt2114461,USA,,,,,92 min
5064,tt2118761,Israel,,,,,90 min
5065,tt2120027,USA,,,,,52 min
5066,tt2121839,Japan,,,,,87 min
5067,tt2122407,Japan,,,,,
5068,tt2123240,UK,,,,,43 min
5069,tt2123279,Palestine,,,,,52 min
5070,tt2123899,Brazil,"BRL500,000",,,$333,123 min
5071,tt2123924,USA,,,,,97 min
5072,tt2124077,Japan,,,,,
5073,tt2124908,UK,,,"$510,334","$629,107",108 min
5074,tt2125436,Philippines,,,,,36 min
5075,tt2125558,USA,,,,,85 min
5076,tt2125608,Sweden,,"$27,459,","$3,696,196","$9,133,712",86 min
5077,tt2125663,Canada,"CAD1,000,000",,,,80 min
5078,tt2126400,USA,,,,,107 min
5079,tt2127243,Japan,,,,,
5080,tt2130161,Czech Republic,,,,"$1,624,375",108 min
5081,tt2131570,USA,,,,,58 min
5082,tt2131679,USA,,,,,
5083,tt2132286,Canada,"CAD117,000",,,,47 min
5084,tt2132325,Italy,,,,,54 min
5085,tt2132521,USA,"$5,000",,,,
5086,tt2136718,Japan,,,,,60 min
5087,tt2137171,India,"$1,000,000",,,,105 min
5088,tt2140169,Canada,,,,,48 min
5089,tt2140177,Uzbekistan,,,,,
5090,tt2140625,Argentina,,,,,96 min
5091,tt2141753,USA,,,,,73 min
5092,tt2141773,USA,,"$104,374,","$157,768","$157,768",
5093,tt2141899,Italy,"EUR1,500,000",,,,95 min
5094,tt2145674,UK,"GBP5,000",,,,82 min
5095,tt2145724,Malaysia,,,,,90 min
5096,tt2145739,USA,,,,,59 min
5097,tt2146678,Italy,EUR50,,,,115 min
5098,tt2147293,USA,"$2,500,000",,,,90 min
5099,tt2147451,USA,"$25,000",,,,
5100,tt2147537,USA,"$100,000",,,,
5101,tt2147593,USA,,,,,36 min
5102,tt2148142,Turkey,,,,"$225,641",116 min
5103,tt2148924,South Africa,,,,,78 min
