,name_id,name
362,nm0452102,Abbas Kiarostami
363,nm10674936,Haozhou Qiu
364,nm0755495,Larisa Sadilova
365,nm1993322,Timo Vuorensola
366,nm0825407,Björn Stein
367,nm0630802,Francis Nielsen
368,nm0893473,Malcolm Venville
369,nm1890845,Sean Anders
370,nm0423626,Rowan Joffe
371,nm0432380,Miranda July
372,nm0440913,Mathieu Kassovitz
373,nm1698571,Evan Goldberg
374,nm0001707,Paul Schrader
375,nm0569891,Tom McGrath
376,nm1027719,Farhan Akhtar
377,nm0093081,Icíar Bollaín
378,nm1943360,Jeremiah Birnbaum
379,nm0000551,Dermot Mulroney
380,nm1314401,Tina Gharavi
381,nm0200005,Lee Daniels
382,nm0001814,Gus Van Sant
383,nm0226200,Helmut Dietl
384,nm0595062,Federico Moccia
385,nm1528905,Claudio Cupellini
386,nm0000777,Gregg Araki
387,nm0766263,Shinsuke Sato
388,nm0014426,Óscar Aibar
389,nm3651642,Thomas Cappelen Malling
390,nm1890845,Sean Anders
391,nm1028464,Miguel Ángel Calvo Buttini
392,nm1719186,Silver Tree
393,nm0318916,Craig Gillespie
394,nm3177795,Takafumi Hatano
395,nm1291105,J.A. Bayona
396,nm0310615,Romain Gavras
397,nm3138629,Anton Bormatov
398,nm0212563,Adam Deacon
399,nm0881762,Enrique Urbizu
400,nm0747689,Chito S. Roño
401,nm0879322,Eitan Zur
402,nm1534600,Benny Boom
403,nm3491871,Kees van Nieuwkerk
404,nm3460475,Cvetodar Markov
405,nm0660707,Gilles Paquet-Brenner
406,nm0670990,Lucio Pellegrini
407,nm0504642,Louis Leterrier
408,nm1416796,Stéphane Robelin
409,nm0110292,Fausto Brizzi
410,nm1097276,Lee Hirsch
411,nm0630057,Michael A. Nickles
412,nm1575453,Pawel Sala
413,nm2154398,Aris Bafaloukas
414,nm0605672,Kôzô Morishita
415,nm0414337,Azazel Jacobs
416,nm0759368,Gabriele Salvatores
417,nm1320998,Victoria Galardi
418,nm0970447,Conrad Vernon
419,nm0386570,Oliver Hirschbiegel
420,nm0333804,Todd Graff
421,nm0797234,Paula Siero
422,nm1883257,Pablo Larraín
423,nm1125677,Anne Depétrini
424,nm0622147,Georgi Natanson
425,nm4071227,Jérôme Le Gris
426,nm0147662,Giorgia Cecere
427,nm0361847,Carmit Harash
428,nm0735872,Hugo Rodríguez
429,nm0765685,Wisit Sasanatieng
430,nm2415918,Anton Megerdichev
431,nm1760800,Topel Lee
432,nm0770277,Till Schauder
433,nm0120526,Paul Bunnell
434,nm0057819,Mariano Barroso
435,nm4161848,Denis Alekseev
436,nm0533666,Angus MacLachlan
437,nm0303832,Alejandro Gamboa
438,nm1031708,Mikkel Nørgaard
439,nm3108153,Tsutomu Hanabusa
440,nm0486994,Vincent Lannoo
441,nm0284770,Robert Fontaine
442,nm5360411,Andreas Schmied
443,nm1824290,Marco Dutra
444,nm0001661,Rob Reiner
445,nm0110292,Fausto Brizzi
446,nm1253078,Pavel Ruminov
447,nm2328765,Shamim Sarif
448,nm5397343,Ricardo Nauenberg
449,nm0850733,Genndy Tartakovsky
450,nm0027948,Roberto Andò
451,nm0194866,Jill D'Agnenica
452,nm0874905,Yorgos Tsemberopoulos
453,nm0006960,John Madden
454,nm2320363,Murat Seker
455,nm1382038,Julia Vargas Weise
456,nm3051114,Anthony D'Souza
457,nm3508781,Abhinav Kashyap
458,nm0128150,Jordi Cadena
459,nm3267608,Aleksandr Barshak
460,nm1002207,Petchtai Wongkamlao
461,nm2335616,Osman Evre Tolga
462,nm0915394,Keoni Waxman
463,nm0421716,Tomas Villum Jensen
464,nm0437480,Osamu Kaneda
465,nm0032925,Shinji Aramaki
466,nm0257554,Michael Engler
467,nm1046377,Manny Palo
468,nm0489453,Casey La Scala
469,nm1136120,Fernando Franco
470,nm1126058,Barbara Gräftner
471,nm2206574,Nana Ekvtimishvili
472,nm0720297,Alain Resnais
473,nm1287835,Dado C. Lumibao
474,nm2961289,Matt Tyrnauer
475,nm0553917,Malu De Martino
476,nm1749062,Sharath Haridaasan
477,nm0893872,Carlo Verdone
478,nm1981653,Thean-jeen Lee
479,nm1388411,Martin Barnewitz
480,nm0580801,Aitor Merino
481,nm0236729,Srdjan Dragojevic
482,nm0235822,Chris Dowling
483,nm0118345,Detlev Buck
484,nm0565336,Tom McCarthy
485,nm5974746,Francesc Relea
486,nm0632354,Nonzee Nimibutr
487,nm0766649,Anno Saul
488,nm0722980,Jean-Michel Ribes
