primary_title,Country,Budget,Opening Weekend USA,Gross USA,Cumulative Worldwide Gross,start_year,runtime_minutes,genres,averagerating,numvotes,director,Profit,Adventure,Drama,Musical,Romance,War,Action,Animation,Fantasy,Thriller,Music,Mystery,Comedy,Biography,History,Sport,Crime,Documentary,Sci-Fi,Horror,Family,Western
The Lady Shogun and Her Men,Japan,7000000,0,0,34597898,2010,116.0,"['Drama', 'Sci-Fi']",6.4,296.0,Fuminori Kaneko,27597898,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Parked,Ireland,0,0,0,17729,2010,94.0,['Drama'],6.8,2131.0,Darragh Byrne,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Texas Chainsaw 3D,USA,20000000,21744470,34341945,47340586,2013,92.0,"['Horror', 'Thriller']",4.8,41784.0,John Luessenhop,27340586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
The Disappearance of Haruhi Suzumiya,Japan,0,0,0,7701498,2010,163.0,"['Animation', 'Comedy', 'Drama']",8.1,5406.0,,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Jewel,Italy,0,0,0,1368586,2011,110.0,['Drama'],6.8,1001.0,Andrea Molaioli,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gekijouban Fate/stay night: Unlimited Blade Works,Japan,0,0,0,406602,2010,107.0,"['Action', 'Animation', 'Drama']",7.0,1308.0,,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No et moi,France,0,0,0,1391946,2010,105.0,['Drama'],6.6,449.0,Zabou Breitman,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Badmaa$h Company,India,0,0,0,64398,2010,142.0,"['Comedy', 'Crime', 'Drama']",6.0,5640.0,Parmeet Sethi,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Only God Forgives,Denmark,4800000,313958,779188,10639616,2013,90.0,"['Crime', 'Drama']",5.7,100318.0,Nicolas Winding Refn,5839616,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Prom,USA,8000000,4712638,10130219,10702246,2011,104.0,"['Comedy', 'Drama', 'Family']",5.4,14279.0,Joe Nussbaum,2702246,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
My Way,South Korea,18990000,17817,70177,16653488,2011,137.0,"['Action', 'Drama', 'War']",7.8,9312.0,Je-kyu Kang,-2336512,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Loft,Netherlands,0,0,0,4956709,2010,108.0,"['Crime', 'Drama', 'Thriller']",6.8,5218.0,Antoinette Beumer,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
