,0
1303,nm1990437
1304,nm3067348
1305,nm0268403
1306,nm0673400
1307,nm1575880
1308,nm3043248
1309,nm1216724
1310,nm0934578
1311,nm2128244
1312,nm1767218
1313,nm1103123
1314,nm1768180
1315,nm0673297
1316,nm0394776
1317,nm0331602
1318,nm1060975
1319,nm2355933
1320,nm0711579
1321,nm3010637
1322,nm3123654
1323,nm1853544
1324,nm3985253
1325,nm0304541
1326,nm1802244
1327,nm1137289
1328,nm0264967
1329,nm1324710
1330,nm1137388
1331,nm1234631
1332,nm0476064
1333,nm0149260
1334,nm1589671
1335,nm3064624
1336,nm1066739
1337,nm0425364
1338,nm3659739
1339,nm0135482
1340,nm1981653
1341,nm0026442
1342,nm4458549
1343,nm0537550
1344,nm1835066
1345,nm0690532
1346,nm1957810
1347,nm0658837
1348,nm0332837
1349,nm2730235
1350,nm2333129
1351,nm0024925
1352,nm0000466
1353,nm0449323
1354,nm0667396
1355,nm1292685
1356,nm3503229
1357,nm3283352
1358,nm1296554
1359,nm1615913
1360,nm1429471
1361,nm0150929
1362,nm3043504
1363,nm1729100
1364,nm1961274
1365,nm1381767
1366,nm0438228
1367,nm4059888
1368,nm0203993
1369,nm2153088
1370,nm0267398
1371,nm4932119
1372,nm1616860
1373,nm0001707
1374,nm0118333
1375,nm0887068
1376,nm0423524
1377,nm4961348
1378,nm0868441
1379,nm2700559
1380,nm0513544
1381,nm0610045
1382,nm2133921
1383,nm6066050
1384,nm4045090
1385,nm2746964
1386,nm5221980
1387,nm1349818
1388,nm2081116
1389,nm0587791
1390,nm5006386
1391,nm2336464
1392,nm0703265
1393,nm0494389
1394,nm0894742
1395,nm5041838
1396,nm0962593
1397,nm0476201
1398,nm2161247
1399,nm5058908
1400,nm4398080
1401,nm0077094
1402,nm0773845
1403,nm1022455
1404,nm4040545
1405,nm0006765
1406,nm1101275
1407,nm0903438
1408,nm1337885
1409,nm5590177
1410,nm3303929
1411,nm4357944
1412,nm0103404
1413,nm2254001
1414,nm1062000
1415,nm0015091
1416,nm0942367
1417,nm0002653
1418,nm0796117
1419,nm0074426
1420,nm0315065
1421,nm0000776
1422,nm0642041
1423,nm0834168
1424,nm1199954
1425,nm1285613
1426,nm0000108
1427,nm2928313
1428,nm0880323
1429,nm0938045
1430,nm1560977
1431,nm1392994
1432,nm1562982
1433,nm2458488
1434,nm0164929
1435,nm1205568
1436,nm1234012
1437,nm0001710
1438,nm0777593
1439,nm1077275
1440,nm1417392
1441,nm3686896
1442,nm0397970
1443,nm3709213
1444,nm0011950
1445,nm0000229
1446,nm0406881
1447,nm8888773
1448,nm0396933
1449,nm2903076
1450,nm1289234
1451,nm3773770
1452,nm1821869
1453,nm2149099
1454,nm0536414
1455,nm1375358
1456,nm0017028
1457,nm0265852
1458,nm2128244
1459,nm4001246
1460,nm0043742
1461,nm0133899
1462,nm4132647
1463,nm2761475
1464,nm3075028
1465,nm1156441
1466,nm1205568
1467,nm2776774
1468,nm1906430
1469,nm3040251
1470,nm0268543
1471,nm2574897
1472,nm2061225
1473,nm1030373
1474,nm0945724
1475,nm1877380
1476,nm0000513
1477,nm0953147
1478,nm8616398
1479,nm0150916
1480,nm0796117
1481,nm2083706
1482,nm1170243
1483,nm2850440
1484,nm0088955
1485,nm0076473
1486,nm0093081
1487,nm4336998
1488,nm0490487
1489,nm0220341
1490,nm0183419
1491,nm1966841
1492,nm0786919
1493,nm2979103
1494,nm3779621
1495,nm2313736
1496,nm0868378
1497,nm0000809
1498,nm0629191
1499,nm0957197
1500,nm1883257
1501,nm4685562
1502,nm3436850
1503,nm0159039
1504,nm0161244
1505,nm1011539
1506,nm4739770
1507,nm1471703
1508,nm1557889
1509,nm1038808
1510,nm1597722
1511,nm4767917
1512,nm0308498
1513,nm0239001
1514,nm0225269
1515,nm0644861
1516,nm1022455
1517,nm0726954
1518,nm0001068
1519,nm3034280
1520,nm4399063
1521,nm2411665
1522,nm0772522
1523,nm1165953
1524,nm2522719
1525,nm0841326
1526,nm1061965
1527,nm2106742
1528,nm1135014
1529,nm0316795
1530,nm3578010
1531,nm2111339
1532,nm1947983
1533,nm0213450
1534,nm3929944
1535,nm0104487
1536,nm2233828
1537,nm1633070
1538,nm1410815
1539,nm2092872
1540,nm0463628
1541,nm5300836
1542,nm1411329
1543,nm2949944
1544,nm0684762
1545,nm5318845
1546,nm0343185
1547,nm1170339
1548,nm0850121
1549,nm3154019
1550,nm0109359
1551,nm1637785
1552,nm1347153
1553,nm2379028
1554,nm2275000
1555,nm0746823
1556,nm0810997
1557,nm0184362
1558,nm0500988
1559,nm3264792
1560,nm0158557
1561,nm1804518
1562,nm0000272
1563,nm1983138
1564,nm0027271
1565,nm1170243
1566,nm4050491
1567,nm1258777
1568,nm4899088
1569,nm2488601
1570,nm0586281
1571,nm5481432
1572,nm1195585
1573,nm3614132
1574,nm8351963
1575,nm0403225
1576,nm0104200
1577,nm0586281
1578,nm0001837
1579,nm10697918
1580,nm5092736
1581,nm10425484
1582,nm1245735
1583,nm0891216
1584,nm2201223
1585,nm1014840
1586,nm0679031
1587,nm0509448
1588,nm1836315
1589,nm0788202
1590,nm0081540
1591,nm0606439
1592,nm0758933
1593,nm0395368
1594,nm0348181
1595,nm0072600
1596,nm0291205
1597,nm0951206
1598,nm0851710
1599,nm0146991
1600,nm0470081
1601,nm1662728
1602,nm0889402
1603,nm0000626
1604,nm0015295
1605,nm0833780
1606,nm0527325
1607,nm0092632
1608,nm3769292
1609,nm1349318
1610,nm0326150
1611,nm3815263
1612,nm2308899
1613,nm3772967
1614,nm0563748
1615,nm0359734
1616,nm0344985
1617,nm0873608
1618,nm3819792
1619,nm0400170
1620,nm1170855
1621,nm0254786
1622,nm3742120
1623,nm0996471
1624,nm1561227
1625,nm3890392
1626,nm1959192
1627,nm1901883
1628,nm2039774
1629,nm0000463
1630,nm0698283
1631,nm0072329
1632,nm0190988
1633,nm0155201
1634,nm0617428
1635,nm0260149
1636,nm1031708
1637,nm0661791
1638,nm1991486
1639,nm0007139
1640,nm0580982
1641,nm0261840
1642,nm0523509
1643,nm0698757
1644,nm1507490
1645,nm0334787
1646,nm1298625
1647,nm0000500
1648,nm3078995
1649,nm0459996
1650,nm0844896
1651,nm4027698
1652,nm0686304
1653,nm0347075
1654,nm0239001
1655,nm0151066
1656,nm0001429
1657,nm0001243
1658,nm0001741
1659,nm1330998
1660,nm1630941
1661,nm3213296
1662,nm0954500
1663,nm1189816
1664,nm3796645
