,title_id,Country,Budget,Opening Weekend USA,Gross USA,Cumulative Worldwide Gross,Runtime
416,tt4382516,Iceland,"$140,000",,,,
417,tt4382618,USA,,"$9,000,","$9,000","$9,000",71 min
418,tt4384078,India,"INR10,000,000",,,,99 min
419,tt4384186,France,,,,"$77,357",92 min
420,tt4384796,Canada,,,,,85 min
421,tt4388944,Canada,,,,,81 min
422,tt4392210,USA,"$2,000",,,,
423,tt4392306,USA,,,,,123 min
424,tt4396072,Japan,,,,,
425,tt4399594,India,"$9,000,000","$347,164,","$528,799","$3,454,709",131 min
426,tt4399952,Ireland,,"$5,053,","$7,362","$916,727",92 min
427,tt4400894,South Korea,,,,,102 min
428,tt4404906,Croatia,,,,,52 min
429,tt4408202,UK,,,,,80 min
430,tt4411500,USA,,,,,75 min
431,tt4412300,Russia,,,,,82 min
432,tt4412528,Canada,"CAD8,700,000",,,,96 min
433,tt4413884,USA,,,,,22 min
434,tt4415326,India,,,,"$59,021",156 min
435,tt4416356,USA,"$150,000",,,,116 min
436,tt4417022,New Zealand,,,,"$211,629",91 min
437,tt4418232,India,,,,,132 min
438,tt4419472,USA,,,,,88 min
439,tt4419834,Norway,"NOK5,000,000",,,,95 min
440,tt4425064,USA,,"$140,064,","$494,506","$494,506",128 min
441,tt4425152,Sweden,"EUR2,000,000",,,"$3,561",106 min
442,tt4425482,Thailand,,,,"$10,299",95 min
443,tt4426656,France,,"$2,836,","$12,810","$118,663",100 min
444,tt4426668,France,,,,,60 min
445,tt4427840,USA,,,,,49 min
446,tt4428874,Japan,,,,,62 min
447,tt4431242,Germany,"EUR1,000,000",,,,55 min
448,tt4431574,UK,GBP200,,,,
449,tt4433970,USA,,,,,80 min
450,tt4434200,USA,"$5,000",,,,
451,tt4437148,Argentina,,,,,60 min
452,tt4442730,USA,,,,,
453,tt4445806,USA,,,,,
454,tt4446034,USA,,,,,
455,tt4446250,Netherlands,"EUR50,000",,,,72 min
456,tt4446374,Spain,,,,,
457,tt4446728,Romania,,,,,95 min
458,tt4456074,Netherlands,"EUR15,000",,,,
459,tt4456262,Morocco,,,,,
460,tt4457450,USA,,,,,
461,tt4457678,Australia,,,,,115 min
462,tt4458368,Japan,,,,"$5,012,513",90 min
463,tt4460756,USA,,,,,87 min
464,tt4465564,USA,"$55,000,000","$46,607,250,","$114,581,250","$381,545,846",118 min
465,tt4467734,Italy,,,,,
466,tt4468308,Japan,,,,,89 min
467,tt4469200,USA,,,,"$50,806",89 min
468,tt4469438,UK,"GBP58,000",,,,
469,tt4471488,India,,,,,137 min
470,tt4473208,Spain,,,,,78 min
471,tt4474378,Germany,,,,,68 min
472,tt4483262,Germany,,,,,100 min
473,tt4488606,Finland,"EUR2,000",,,,
474,tt4489540,Italy,"EUR50,000",,,,64 min
475,tt4490778,USA,"$25,000",,,,60 min
476,tt4494494,Chile,,,,"$226,535",90 min
477,tt4497850,Greece,,,,,120 min
478,tt4498978,Germany,"EUR6,000",,,,84 min
479,tt4499308,France,"EUR80,000",,,,
480,tt4499572,USA,,,,,88 min
481,tt4507678,UK,"GBP1,000",,,,
482,tt4510348,USA,,,,,74 min
483,tt4511478,India,"INR8,000,000",,,,125 min
484,tt4512230,India,,,,,113 min
485,tt4512990,USA,,,,,
486,tt4514932,Netherlands,,,,,32 min
487,tt4515456,UK,,,,,59 min
488,tt4516846,Australia,"AUD20,000",,,,66 min
489,tt4517634,USA,,,,,70 min
490,tt4519490,USA,,,,,77 min
491,tt4521338,UK,"GBP145,971",,,,90 min
492,tt4521472,Germany,"EUR15,000",,,,60 min
493,tt4522744,Italy,,,,,63 min
494,tt4524050,Canada,"CAD50,000",,,,107 min
495,tt4524234,Philippines,,,,,100 min
496,tt4942750,Germany,,,,"$73,820",91 min
497,tt4943040,Ireland,,,,,82 min
498,tt4943620,USA,"$35,000",,,,89 min
499,tt4944352,Philippines,,"$15,485,","$206,040","$4,625,639",118 min
500,tt4944658,Spain,"EUR6,000,000",,,"$674,493",110 min
501,tt4945938,USA,"$1,000",,,,
502,tt4946776,India,,,,,95 min
503,tt4949412,USA,,,,,88 min
504,tt4949466,Sweden,,,,,59 min
505,tt4952792,Canada,,,,,81 min
506,tt4954546,China,"$1,590,000",,,,
507,tt4954580,South Africa,,,,,95 min
508,tt4954946,Brazil,,,,,104 min
509,tt4955492,USA,"$10,000",,,,85 min
510,tt4959436,Italy,EUR160,,,,78 min
511,tt4966532,Iceland,,,,"$728,751",105 min
512,tt4967298,UK,,,,,77 min
513,tt4970580,Venezuela,,,,,
514,tt4975400,Turkey,"TRL2,000,000",,,"$26,052",
515,tt4976984,USA,,,,,73 min
516,tt4978954,Italy,"EUR50,000",,,,105 min
517,tt4982252,Australia,,,,,87 min
518,tt4984866,Italy,,,,,
519,tt4985954,USA,,,,,91 min
520,tt4997204,Bangladesh,"INR130,000,000",,,,
521,tt4997998,USA,,,,,110 min
522,tt5001426,UK,,,,,80 min
523,tt5004778,China,,,,"$2,210,000",81 min
524,tt5004930,France,,,,,150 min
525,tt5005862,Puerto Rico,,,,,110 min
526,tt5008516,USA,,,,,49 min
527,tt5011028,Italy,,,,,
528,tt5011672,France,,,,,90 min
529,tt5012858,USA,,,,,46 min
530,tt5012992,Australia,"AUD500,000",,,,
531,tt5014114,Germany,"EUR420,000",,,,90 min
532,tt5015926,USA,,,,,80 min
533,tt5016442,India,,,,,145 min
534,tt5016542,France,,,,,80 min
535,tt5022706,USA,,,,,20 min
536,tt5023876,Romania,,,,,9 min
537,tt5024512,Canada,CAD700,,,,114 min
538,tt5028240,France,"EUR150,000",,,,53 min
539,tt5028722,USA,"$25,000",,,,56 min
540,tt5029018,India,,,,,140 min
541,tt5030636,UK,,,,,60 min
542,tt5032752,USA,,,,,45 min
543,tt5036296,India,,,,,5 min
544,tt5039442,USA,,,,,
545,tt5039912,Japan,,,,,108 min
546,tt5040108,USA,,"$1,624,","$1,624","$1,624",101 min
547,tt5040786,Japan,,,,,87 min
548,tt5047286,Italy,"EUR5,000",,,,
549,tt5048398,Poland,"PLN11,000",,,,
550,tt5051220,Germany,,,,,88 min
551,tt5051222,Slovenia,,,,,50 min
552,tt5052298,South Korea,,,,"$697,826",109 min
553,tt5052832,USA,,,,,
554,tt5053024,UK,,,,,7 min
555,tt5053418,Japan,,,,,45 min
556,tt5058020,USA,"$10,000",,,,85 min
557,tt5059690,USA,,,,,90 min
558,tt5061558,Spain,"EUR600,000",,,$102,90 min
559,tt5062938,Denmark,,,,,98 min
560,tt5065688,India,"INR50,000,000",,,,132 min
561,tt5066432,South Korea,,,,"$89,553",108 min
562,tt5069054,USA,,,,,93 min
563,tt5069064,Italy,,,,,80 min
564,tt5069188,Australia,,,,,75 min
565,tt5069342,USA,,,,,55 min
566,tt5070206,USA,,,,,92 min
567,tt5072370,Iraq,,,,,97 min
568,tt5072722,USA,,,,,91 min
569,tt5073310,India,"INR3,000,000",,,,
570,tt5074068,USA,,,,,36 min
571,tt5074552,India,"INR80,000,000",,,"$17,489",143 min
572,tt5074618,Turkey,,,,"$2,896,169",96 min
573,tt5074700,Australia,,,,,60 min
574,tt5075328,USA,,,,,62 min
575,tt5076152,USA,,,,,
576,tt5079776,USA,,,,,125 min
577,tt5080758,USA,,,,,
578,tt5085924,USA,,,,"$504,718",92 min
579,tt5086384,USA,"$350,000",,,,81 min
580,tt5086438,USA,,,,,107 min
581,tt5087564,USA,,,,,90 min
582,tt5089526,USA,"$600,000",,,,
