,title_id,Country,Budget,Opening Weekend USA,Gross USA,Cumulative Worldwide Gross,Runtime
6787,tt2231093,Germany,,,,,102 min
6788,tt2231129,USA,,,,,91 min
6789,tt2232496,France,,,,,52 min
6790,tt2233268,USA,,,,,84 min
6791,tt2234123,Norway,"NOK55,000",,,,92 min
6792,tt2234227,Italy,"EUR100,000",,,,
6793,tt2234550,USA,,,,,45 min
6794,tt2239040,Turkey,,,,,85 min
6795,tt2239452,Philippines,,,,,
6796,tt2241175,USA,,,,,77 min
6797,tt2241459,USA,,,,,70 min
6798,tt2241605,Argentina,,,,"$8,932,920",106 min
6799,tt2243361,Sweden,,,,"$1,484,924",84 min
6800,tt2244248,USA,,,,,60 min
6801,tt2244889,USA,"$600,000",,,,104 min
6802,tt2245279,UK,,,,,95 min
6803,tt2246613,USA,,,,,87 min
6804,tt2247111,Germany,,,,,79 min
6805,tt2248833,USA,,,,,
6806,tt2248944,Argentina,,,,"$6,418,254",
6807,tt2249125,UK,,,,,78 min
6808,tt2251209,USA,,,,,77 min
6809,tt2252038,USA,,,,,99 min
6810,tt2252286,USA,,,,,61 min
6811,tt2254124,India,,,,,172 min
6812,tt2255664,USA,,,,,53 min
6813,tt2257152,USA,,,,,97 min
6814,tt2257700,Italy,,,,,70 min
6815,tt2258293,Germany,,,,,87 min
6816,tt2259984,USA,,,,,46 min
6817,tt2261205,France,,,,,54 min
6818,tt2261447,France,,,,,52 min
6819,tt2261547,USA,,,,,97 min
6820,tt2261739,Serbia,EUR600,,,,
6821,tt2262089,New Zealand,,,,"$43,782",101 min
6822,tt2262161,UK,,"$12,995,","$159,714","$1,302,482",135 min
6823,tt2262399,UK,,,,,8 min
6824,tt2262481,Canada,,,,,47 min
6825,tt2265171,Indonesia,"$4,500,000","$165,292,","$2,627,209","$6,566,916",150 min
6826,tt2268477,UK,,,,,55 min
6827,tt2269544,USA,"$3,500",,,,105 min
6828,tt2271469,Netherlands,,,,,82 min
6829,tt2271603,UK,,,,,55 min
6830,tt2271623,USA,"$25,000",,,,
6831,tt2271689,UK,,,,,94 min
6832,tt2272350,USA,"$6,000",,,,101 min
6833,tt2272582,USA,"$5,000,000",,,,95 min
6834,tt2272756,Canada,"CAD1,000",,,,93 min
6835,tt2273062,USA,,,,,84 min
6836,tt2273497,Japan,,,,,60 min
6837,tt2273669,USA,,,,,76 min
6838,tt2274158,USA,,,,,86 min
6839,tt2274706,Sri Lanka,"$200,000",,,,90 min
6840,tt2275551,USA,,,,,92 min
6841,tt2275885,Brazil,,,,"$837,709",90 min
6842,tt2279039,South Korea,,,,,73 min
6843,tt2279041,Spain,"EUR30,000",,,,
6844,tt2279164,Sweden,,,,,
6845,tt2279313,Belgium,,,,"$27,719",85 min
6846,tt2279370,USA,,,,,71 min
6847,tt2281147,Australia,"AUD10,000",,,,100 min
6848,tt2281225,USA,,,,,170 min
6849,tt2281239,USA,,,,,69 min
6850,tt2281425,Finland,"EUR1,500,000",,,"$535,433",98 min
6851,tt2283089,USA,,,,,81 min
6852,tt2285389,Indonesia,,,,,99 min
6853,tt2286630,USA,"$100,000",,,,60 min
6854,tt2287639,France,,,,,93 min
